,year,participation,edition,DIRECTING,FILM EDITING,ACTOR IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,DOCUMENTARY (Short Subject),DOCUMENTARY (Feature),CINEMATOGRAPHY,FOREIGN LANGUAGE FILM,HONORARY AWARD,ART DIRECTION,BEST PICTURE,COSTUME DESIGN,ACTRESS,ACTOR,SOUND,SHORT FILM (Animated),SHORT FILM (Live Action),MUSIC (Original Song),MUSIC (Original Score),ACTOR IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,SHORT SUBJECT (Cartoon),IRVING G. THALBERG MEMORIAL AWARD,JEAN HERSHOLT HUMANITARIAN AWARD,VISUAL EFFECTS,MUSIC (Song),MAKEUP,SOUND RECORDING,CINEMATOGRAPHY (Black-and-White),CINEMATOGRAPHY (Color),SPECIAL EFFECTS,ART DIRECTION (Black-and-White),ART DIRECTION (Color),WRITING (Original Screenplay),WRITING (Screenplay Written Directly for the Screen),SHORT SUBJECT (One-reel),WRITING (Screenplay),SHORT SUBJECT (Two-reel),MUSIC (Scoring of a Musical Picture),MUSIC (Music Score of a Dramatic or Comedy Picture),WRITING (Screenplay--based on material from another medium),SPECIAL AWARD,BEST MOTION PICTURE,SOUND EDITING,SHORT SUBJECT (Live Action),COSTUME DESIGN (Black-and-White),COSTUME DESIGN (Color),SOUND EFFECTS EDITING,ANIMATED FEATURE FILM,WRITING (Adapted Screenplay),SOUND MIXING,WRITING (Screenplay Based on Material from Another Medium),WRITING (Original Story),WRITING (Story and Screenplay--written directly for the screen),OUTSTANDING PRODUCTION,WRITING (Screenplay Based on Material Previously Produced or Published),WRITING (Motion Picture Story),SPECIAL ACHIEVEMENT AWARD (Visual Effects),SPECIAL VISUAL EFFECTS,MUSIC (Original Dramatic Score),MUSIC (Scoring),WRITING (Story and Screenplay),MUSIC (Scoring of Music--adaptation or treatment),SOUND EFFECTS,MAKEUP AND HAIRSTYLING,WRITING (Adaptation),MUSIC (Song--Original for the Picture),PRODUCTION DESIGN,WRITING (Original Motion Picture Story),ASSISTANT DIRECTOR,HONORARY FOREIGN LANGUAGE FILM AWARD,SHORT SUBJECT (Comedy),WRITING (Story and Screenplay--based on factual material or material not previously published or produced),MUSIC (Music Score--substantially original),SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),MUSIC (Original Musical or Comedy Score),SHORT SUBJECT (Novelty),OUTSTANDING MOTION PICTURE,SPECIAL ACHIEVEMENT AWARD,SHORT SUBJECT (Animated),MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),DANCE DIRECTION,WRITING,SPECIAL FOREIGN LANGUAGE FILM AWARD,WRITING (Screenplay Adapted from Other Material),MUSIC (Original Music Score),WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),MUSIC (Original Score--for a motion picture [not a musical]),MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),MUSIC (Original Song Score and Its Adaptation or Adaptation Score),MUSIC (Original Song Score),MUSIC (Score of a Musical Picture--original or adaptation),SHORT SUBJECT (Color),MUSIC (Scoring: Adaptation and Original Song Score),OUTSTANDING PICTURE,WRITING (Screenplay--Adapted),WRITING (Story and Screenplay--based on material not previously published or produced),WRITING (Screenplay--Original),ENGINEERING EFFECTS,UNIQUE AND ARTISTIC PICTURE,SPECIAL ACHIEVEMENT AWARD (Sound Effects),SPECIAL ACHIEVEMENT AWARD (Sound Editing),DOCUMENTARY,SHORT FILM (Dramatic Live Action),MUSIC (Original Song Score or Adaptation Score),MUSIC (Music Score of a Dramatic Picture),MUSIC (Adaptation Score),DIRECTING (Comedy Picture),DIRECTING (Dramatic Picture),WRITING (Title Writing)
0,1929,13,1,,,,,,,Sunrise,,,William Cameron Menzies,,,Janet Gaynor,Emil Jannings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Underworld,,,,,,,,,,,,,7th Heaven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paramount Famous Lasky,,,,Roy Pomeroy,Fox,,,,,,,,Lewis Milestone,Frank Borzage,
1,1930,7,2,Frank Lloyd,,,,,,White Shadows in the South Seas,,,Cedric Gibbons,,,Mary Pickford,Warner Baxter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Patriot,,,,,,,,,,,,Metro-Goldwyn-Mayer,,,,,,,,,,,,,,,
2,1931,8,3,Lewis Milestone,,,,,,With Byrd at the South Pole,,,Herman Rosse,,,Norma Shearer,George Arliss,,,,,,,,,,,,,,The Big House,,,,,,,,,,,,,,,,,,,,,,,,,,,All Quiet on the Western Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Big House,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1932,9,4,Norman Taurog,,,,,,Tabu,,,Max Rée,,,Marie Dressler,Lionel Barrymore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Dawn Patrol,,Cimarron,,,,,,,,,,,Cimarron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1933,13,5,Frank Borzage,,,,,,Shanghai Express,,,Gordon Wiles,,,Helen Hayes,Wallace Beery,,,,,,,,Flowers and Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Champ,,Grand Hotel,,,,,,,,,,,Bad Girl,,,,,,The Music Box,,,,,Wrestling Swordfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1934,13,6,Frank Lloyd,,,,,,A Farewell to Arms,,,William S. Darling,,,Katharine Hepburn,Charles Laughton,,,,,,,,The Three Little Pigs,,,,,,A Farewell to Arms,,,,,,,,,,,,,,,,,,,,,,,,,One Way Passage,,Cavalcade,,,,,,,,,,,Little Women,,,,William Tummel (Fox),,So This Is Harris,,,,,Krakatoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1935,17,7,Frank Capra,Eskimo,,,,,Cleopatra,,,"Cedric Gibbons, Fredric Hope",,,Claudette Colbert,Clark Gable,,,,,,,,The Tortoise and the Hare,,,,The Gay Divorcee,,One Night of Love,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan Melodrama,,It Happened One Night,,,,,,One Night of Love,,,,,It Happened One Night,,,,John Waters,,La Cucaracha,,,,,City of Wax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1936,18,8,John Ford,A Midsummer Night's Dream,,,,,A Midsummer Night's Dream,,,Richard Day,,,Bette Davis,Victor McLaglen,,,,,,,,Three Orphan Kittens,,,,Gold Diggers of 1935,,Naughty Marietta,,,,,,,,,The Informer,,,,,,,,,,,,,,,,The Scoundrel,,Mutiny on the Bounty,,,,,,The Informer,,,,,,,,,"Clem Beauchamp, Paul Wing",,How to Sleep,,,,,Wings over Mt. Everest,,,,,Dave Gould,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1937,21,9,Frank Capra,Anthony Adverse,Walter Brennan,Gale Sondergaard,,,Anthony Adverse,,,Richard Day,,,Luise Rainer,Paul Muni,,,,,,,,The Country Cousin,,,,Swing Time,,San Francisco,,,,,,,,Bored of Education,The Story of Louis Pasteur,The Public Pays,,,,,,,,,,,,,,,The Story of Louis Pasteur,,The Great Ziegfeld,,,,,,Anthony Adverse,,,,,,,,,Jack Sullivan,,,,,,,,,,,,Seymour Felix,,,,,,,,,,,Give Me Liberty,,,,,,,,,,,,,,,,,
9,1938,22,10,Leo McCarey,Lost Horizon,Joseph Schildkraut,Alice Brady,,,The Good Earth,,,Stephen Goosson,,,Luise Rainer,Spencer Tracy,,,,,,,,The Old Mill,,,,Waikiki Wedding,,The Hurricane,,,,,,,,The Private Life of the Gannets,The Life of Emile Zola,Torture Money,,,,,,,,,,,,,,,A Star Is Born,,The Life of Emile Zola,,,,,,One Hundred Men and a Girl,,,,,,,,,Robert Webb,,,,,,,,,,,,Hermes Pan,,,,,,,,,,,Penny Wisdom,,,,,,,,,,,,,,,,,
