movie,indication_year,number_indications,victories,percentage_victories,tmdb_id
The Lord of the Rings: The Return of the King,2004,11,11,100.0,122
Titanic,1998,14,11,78.57142857142857,597
Ben-Hur,1960,12,11,91.66666666666667,665
West Side Story,1962,11,10,90.9090909090909,1725
The Last Emperor,1988,9,9,100.0,746
The English Patient,1997,12,9,75.0,409
Gigi,1959,9,9,100.0,17281
Gandhi,1983,11,8,72.72727272727273,783
From Here to Eternity,1954,13,8,61.53846153846154,11426
Slumdog Millionaire,2009,10,8,80.0,12405
Gone with the Wind,1940,13,8,61.53846153846154,770
Amadeus,1985,11,8,72.72727272727273,279
Cabaret,1973,10,8,80.0,10784
On the Waterfront,1955,12,8,66.66666666666667,654
My Fair Lady,1965,12,8,66.66666666666667,11113
Schindler's List,1994,12,7,58.333333333333336,424
Out of Africa,1986,11,7,63.63636363636363,606
Gravity,2014,10,7,70.0,49047
The Best Years of Our Lives,1947,8,7,87.5,887
The Sting,1974,10,7,70.0,9277
Dances With Wolves,1991,12,7,58.333333333333336,581
Shakespeare in Love,1999,13,7,53.84615384615385,1934
Patton,1971,10,7,70.0,11202
Going My Way,1945,10,7,70.0,17661
Lawrence of Arabia,1963,10,7,70.0,947
The Bridge on the River Kwai,1958,8,7,87.5,826
Star Wars,1978,10,6,60.0,11
An American in Paris,1952,8,6,75.0,2769
A Man for All Seasons,1967,8,6,75.0,874
Mad Max: Fury Road,2016,10,6,60.0,76341
The Hurt Locker,2010,9,6,66.66666666666667,0
The Godfather Part II,1975,11,6,54.54545454545455,1
A Place in the Sun,1952,9,6,66.66666666666667,1
All about Eve,1951,14,6,42.857142857142854,1
Chicago,2003,13,6,46.15384615384615,1
La La Land,2017,14,6,42.857142857142854,1
Mrs. Miniver,1943,12,6,50.0,1
Forrest Gump,1995,13,6,46.15384615384615,1
How Green Was My Valley,1942,10,5,50.0,1
Doctor Zhivago,1966,10,5,50.0,1
Around the World in 80 Days,1957,8,5,62.5,1
Who's Afraid of Virginia Woolf?,1967,13,5,38.46153846153846,1
The King and I,1957,9,5,55.55555555555556,1
Mary Poppins,1965,13,5,38.46153846153846,1
One Flew over the Cuckoo's Nest,1976,9,5,55.55555555555556,1
The Bad and the Beautiful,1953,6,5,83.33333333333333,1
American Beauty,2000,8,5,62.5,1
It Happened One Night,1935,5,5,100.0,1
Wilson,1945,10,5,50.0,1
The Artist,2012,10,5,50.0,1
Gladiator,2001,12,5,41.666666666666664,1
The Apartment,1961,10,5,50.0,1
The French Connection,1972,8,5,62.5,1
Braveheart,1996,10,5,50.0,1
Oliver!,1969,11,5,45.45454545454545,1
The Sound of Music,1966,10,5,50.0,1
Hugo,2012,11,5,45.45454545454545,1
The Aviator,2005,11,5,45.45454545454545,1
The Silence of the Lambs,1992,7,5,71.42857142857143,1
Kramer vs. Kramer,1980,9,5,55.55555555555556,1
Terms of Endearment,1984,11,5,45.45454545454545,11050
Raiders of the Lost Ark,1982,9,5,55.55555555555556,85
Saving Private Ryan,1999,11,5,45.45454545454545,857
The Deer Hunter,1979,9,5,55.55555555555556,11778
In the Heat of the Night,1968,7,5,71.42857142857143,10633
Annie Hall,1978,5,4,80.0,703
The Grand Budapest Hotel,2015,9,4,44.44444444444444,120467
Driving Miss Daisy,1990,9,4,44.44444444444444,403
Unforgiven,1993,9,4,44.44444444444444,33
Inception,2011,8,4,50.0,27205
All That Jazz,1980,9,4,44.44444444444444,16858
E.T. The Extra-Terrestrial,1983,9,4,44.44444444444444,601
Cleopatra,1964,9,4,44.44444444444444,8095
Anthony Adverse,1937,7,4,57.142857142857146,37658
No Country for Old Men,2008,8,4,50.0,6977
The Informer,1936,6,4,66.66666666666667,43896
Hamlet,1949,7,4,57.142857142857146,23383
Chariots of Fire,1982,7,4,57.142857142857146,9443
Barry Lyndon,1976,7,4,57.142857142857146,3175
The Lost Weekend,1946,7,4,57.142857142857146,28580
High Noon,1953,7,4,57.142857142857146,288
A Beautiful Mind,2002,8,4,50.0,453
Marty,1956,8,4,50.0,15919
Butch Cassidy and the Sundance Kid,1970,7,4,57.142857142857146,642
Ordinary People,1981,6,4,66.66666666666667,16619
The Heiress,1950,8,4,50.0,28571
The Departed,2007,5,4,80.0,1422
The Right Stuff,1984,8,4,50.0,9549
Fanny & Alexander,1984,6,4,66.66666666666667,58843
The Matrix,2000,4,4,100.0,603
Platoon,1987,8,4,50.0,792
All the President's Men,1977,8,4,50.0,891
Million Dollar Baby,2005,7,4,57.142857142857146,70
Spartacus,1961,6,4,66.66666666666667,967
Traffic,2001,5,4,80.0,1900
Rain Man,1989,8,4,50.0,380
Birdman or (The Unexpected Virtue of Ignorance),2015,9,4,44.44444444444444,194662
Terminator 2: Judgment Day,1992,6,4,66.66666666666667,280
Life of Pi,2013,11,4,36.36363636363637,87827
A Streetcar Named Desire,1952,12,4,33.333333333333336,702
The King's Speech,2011,12,4,33.333333333333336,45269
