,movie,indication_year,number_indications,victories,percentage_victories,tmdb_id,imdb_id,budget,revenue,genres,production_countries
0,"$1,000 a Minute",1936,1,0,0.0,218388,tt0026027,0,0,['Comedy'],['US']
1,'38',1987,1,0,0.0,42016,tt0090554,0,0,['Drama'],"['AT', 'DE']"
2,'Crocodile' Dundee,1987,1,0,0.0,9671,tt0090555,5000000,328203506,"['Adventure', 'Comedy']",['AU']
3,'Round Midnight,1987,2,1,50.0,14670,tt0090557,0,0,['Drama'],"['US', 'FR']"
4,(A) Torzija [(A) Torsion],2004,1,0,0.0,0,False,False,False,False,False
5,...And Justice for All,1980,2,0,0.0,17443,tt0078718,0,33300000,"['Crime', 'Drama', 'Mystery', 'Thriller']",['US']
6,10,1980,2,0,0.0,9051,tt0078721,0,74865517,"['Comedy', 'Romance']",['US']
7,102 Dalmatians,2001,1,0,0.0,10481,tt0211181,85000000,183611771,"['Comedy', 'Family']",['US']
8,12,2008,1,0,0.0,20714,tt0488478,4000000,7537453,"['Crime', 'Drama']",['RU']
9,12 Angry Men,1958,3,0,0.0,389,tt0050083,350000,1000000,['Drama'],['US']
10,12 Monkeys,1996,2,0,0.0,63,tt0114746,29500000,168840000,"['Science Fiction', 'Thriller', 'Mystery']",['US']
11,12 Years a Slave,2014,9,3,33.333333333333336,76203,tt2024544,20000000,187000000,"['Drama', 'History']","['US', 'GB']"
12,127 Hours,2011,6,0,0.0,44115,tt1542344,18000000,35692920,"['Adventure', 'Drama', 'Thriller']","['GB', 'US']"
13,12:01 PM,1991,1,0,0.0,30647,tt0098962,0,0,['Science Fiction'],['US']
14,13 Hours: The Secret Soldiers of Benghazi,2017,1,0,0.0,300671,tt4172430,50000000,69411370,"['Action', 'Drama', 'History', 'Thriller', 'War']","['MT', 'MA', 'US']"
15,13th,2017,1,0,0.0,407806,tt5895028,0,0,['Documentary'],['US']
16,140 Days under the World,1965,1,0,0.0,243271,tt0057806,0,0,[],[]
17,1776,1973,1,0,0.0,14902,tt0068156,0,0,"['Drama', 'Comedy', 'History', 'Music']",['US']
18,1848,1950,1,0,0.0,0,False,False,False,False,False
19,1941,1980,3,0,0.0,11519,tt0078723,35000000,31755742,['Comedy'],['US']
20,20 Feet from Stardom,2014,1,1,100.0,159014,tt2396566,1000000,0,"['Documentary', 'Music']",['US']
21,"20,000 Leagues under the Sea",1955,3,2,66.66666666666667,173,tt0046672,5000000,28200000,"['Adventure', 'Drama', 'Science Fiction']",['US']
22,2001: A Space Odyssey,1969,4,1,25.0,62,tt0062622,10500000,68700000,"['Science Fiction', 'Mystery', 'Adventure']","['GB', 'US']"
23,2010,1985,5,0,0.0,4437,tt0086837,28000000,40400657,"['Thriller', 'Science Fiction']",['US']
24,20th Century Women,2017,1,0,0.0,342737,tt4385888,7000000,5664764,['Drama'],['US']
25,21 Grams,2004,2,0,0.0,470,tt0315733,20000000,60427839,"['Drama', 'Crime', 'Thriller']",['US']
26,24-Hour Alert,1956,1,0,0.0,234946,tt0047791,0,0,[],[]
27,3 Misses,2000,1,0,0.0,0,False,False,False,False,False
28,3:10 to Yuma,2008,2,0,0.0,5176,tt0381849,55000000,70016220,['Western'],['US']
29,3rd Ave. El,1956,1,0,0.0,243032,tt0047792,0,0,['Documentary'],[]
30,4 Little Girls,1998,1,0,0.0,26580,tt0118540,0,0,['Documentary'],['US']
31,4.1 Miles,2017,1,0,0.0,422960,tt6279726,0,0,['Documentary'],[]
32,42nd Street,1934,2,0,0.0,3062,tt0024034,439000,2281000,"['Music', 'Comedy', 'Romance']",['US']
33,45 Years,2016,1,0,0.0,311291,tt3544082,0,4250507,['Drama'],['GB']
34,5 Broken Cameras,2013,1,0,0.0,0,False,False,False,False,False
35,55 Days at Peking,1964,2,0,0.0,27759,tt0056800,17000000,10000000,"['Action', 'Drama', 'History']",['US']
36,7 Faces of Dr. Lao,1965,1,0,0.0,14241,tt0057812,0,0,"['Drama', 'Family', 'Fantasy', 'Mystery', 'Western']",['US']
37,7:35 in the Morning (7:35 de la Mañana),2005,1,0,0.0,0,False,False,False,False,False
38,7th Heaven,1929,5,3,60.0,0,False,False,False,False,False
39,8 Mile,2003,1,1,100.0,65,tt0298203,242875078,215000000,['Drama'],['US']
40,89mm od Europy (89mm from Europe),1995,1,0,0.0,0,False,False,False,False,False
41,9,2006,1,0,0.0,98622,tt0443424,0,0,"['Animation', 'Science Fiction']",[]
42,A Beautiful Mind,2002,8,4,50.0,453,tt0268978,60000000,313542341,"['Drama', 'Romance']",['US']
43,A Better Life,2012,1,0,0.0,55720,tt1554091,10000000,1759252,['Drama'],['US']
44,A Boy Named Charlie Brown,1971,1,0,0.0,0,False,False,False,False,False
45,A Boy and His Dog,1947,1,1,100.0,240406,tt0038379,0,0,"['Drama', 'Family']",['US']
46,A Bug's Life,1999,1,0,0.0,9487,tt0120623,120000000,363258859,"['Adventure', 'Animation', 'Comedy', 'Family']",['US']
47,A Cage of Nightingales,1948,1,0,0.0,0,False,False,False,False,False
48,A Cat in Paris,2012,1,0,0.0,0,False,False,False,False,False
49,A Certain Smile,1959,3,0,0.0,98508,tt0051466,0,0,[],['US']
50,A Chairy Tale,1958,1,0,0.0,148176,tt0050534,0,0,"['Comedy', 'Animation']",[]
51,A Chance to Live,1950,1,1,100.0,240466,tt0041240,0,0,[],[]
52,A Chef in Love,1997,1,0,0.0,105763,tt0117050,0,0,"['Drama', 'Comedy', 'Romance', 'Foreign']","['RU', 'FR', 'GE', 'UA', 'BE']"
53,A Chorus Line,1986,3,0,0.0,1816,tt0088915,0,14202899,"['Drama', 'Music']",['US']
54,A Christmas Carol,1973,1,1,100.0,0,False,False,False,False,False
55,A City Called Copenhagen,1961,1,0,0.0,243200,tt0053685,0,0,[],[]
56,A City Decides,1957,1,0,0.0,243046,tt0049081,0,0,[],[]
57,A Civil Action,1999,2,0,0.0,9422,tt0120633,70000000,56702901,['Drama'],['US']
58,A Clockwork Orange,1972,4,0,0.0,185,tt0066921,2200000,26589000,"['Science Fiction', 'Drama']","['GB', 'US']"
59,A Close Shave,1996,1,1,100.0,532,tt0112691,0,0,"['Family', 'Animation', 'Comedy']",['GB']
60,A Cry in the Dark,1989,1,0,0.0,35119,tt0094924,15000000,6908797,['Drama'],"['AU', 'US']"
61,A Damsel in Distress,1938,2,1,50.0,66473,tt0028757,0,0,"['Comedy', 'Music', 'Romance']",['US']
62,A Day at the Races,1938,1,0,0.0,11939,tt0028772,0,0,['Comedy'],['US']
63,A Day in the Life of Bonnie Consolo,1976,1,0,0.0,243405,tt0072847,0,0,['Documentary'],[]
64,A Different Approach,1979,1,0,0.0,243617,tt0077434,0,0,[],[]
65,A Double Life,1948,4,2,50.0,41206,tt0039335,0,0,"['Drama', 'Thriller', 'Crime']",['US']
66,A Dry White Season,1990,1,0,0.0,32075,tt0097243,0,0,"['Drama', 'Mystery']",['US']
67,A Farewell to Arms,1934,4,2,50.0,0,False,False,False,False,False
68,A Farewell to Arms,1958,1,0,0.0,80255,tt0050379,4100000,20000000,"['Romance', 'Drama', 'War']",[]
69,A Few Good Men,1993,4,0,0.0,881,tt0104257,40000000,243240178,['Drama'],['US']
70,A Few Notes on Our Food Problem,1969,1,0,0.0,149310,tt0062968,0,0,[],[]
71,A Fish Called Wanda,1989,3,1,33.333333333333336,623,tt0095159,7500000,62493712,"['Comedy', 'Crime']","['GB', 'US']"
72,A Foreign Affair,1949,2,0,0.0,61650,tt0040367,1500000,0,"['Comedy', 'Drama', 'Romance']",['US']
73,A Free Soul,1932,3,1,33.333333333333336,50600,tt0021885,0,0,"['Crime', 'Drama', 'Romance']",['US']
74,A Funny Thing Happened on the Way to the Forum,1967,1,1,100.0,17768,tt0060438,0,0,"['Comedy', 'Music']","['GB', 'US']"
75,A Gathering of Eagles,1964,1,0,0.0,124058,tt0057090,0,0,"['Drama', 'Romance']",['US']
76,A Girl in the River: The Price of Forgiveness,2016,1,1,100.0,369364,tt5144072,0,0,['Documentary'],['PK']
77,A Grand Day Out,1991,1,0,0.0,530,tt0104361,0,0,"['Adventure', 'Animation', 'Comedy', 'Science Fiction', 'Family']",['GB']
78,A Great Day in Harlem,1995,1,0,0.0,124472,tt0109934,0,0,[],[]
79,A Greek Tragedy,1987,1,1,100.0,0,False,False,False,False,False
80,A Gun in His Hand,1946,1,0,0.0,130357,tt0037758,0,0,[],['US']
81,A Guy Named Joe,1945,1,0,0.0,43306,tt0035959,2627000,5363000,"['Drama', 'Romance', 'War']",['US']
82,A Handful of Dust,1989,1,0,0.0,46021,tt0095274,0,0,"['Romance', 'Drama']",[]
83,A Hard Day's Night,1965,2,0,0.0,704,tt0058182,560000,12299668,"['Comedy', 'Music']",['GB']
84,A Hatful of Rain,1958,1,0,0.0,37086,tt0050487,0,0,['Drama'],['US']
85,A History of Violence,2006,2,0,0.0,59,tt0399146,32000000,60740827,"['Drama', 'Thriller', 'Crime']","['US', 'CA', 'DE']"
86,A Hole in the Head,1960,1,1,100.0,33725,tt0052896,0,0,"['Comedy', 'Music']",['US']
87,A House Is Not a Home,1965,1,0,0.0,216661,tt0058209,0,0,['Drama'],[]
88,A Jury of Her Peers,1981,1,0,0.0,244372,tt0080974,0,0,[],[]
89,A King's Story,1968,1,0,0.0,0,False,False,False,False,False
90,A Letter to Three Wives,1950,3,2,66.66666666666667,45578,tt0041587,0,0,"['Drama', 'Romance']",['US']
