movie,year,indications,win
All about Eve,1951.0,14,6
Titanic,1998.0,14,11
La La Land,2017.0,14,6
Gone with the Wind,1940.0,13,8
The Curious Case of Benjamin Button,2009.0,13,3
Shakespeare in Love,1999.0,13,7
Forrest Gump,1995.0,13,6
Who's Afraid of Virginia Woolf?,1967.0,13,5
From Here to Eternity,1954.0,13,8
Mary Poppins,1965.0,13,5
Chicago,2003.0,13,6
The Lord of the Rings: The Fellowship of the Ring,2002.0,13,4
The English Patient,1997.0,12,9
The King's Speech,2011.0,12,4
Ben-Hur,1960.0,12,11
Gladiator,2001.0,12,5
Lincoln,2013.0,12,2
The Revenant,2016.0,12,3
Dances With Wolves,1991.0,12,7
My Fair Lady,1965.0,12,8
Schindler's List,1994.0,12,7
On the Waterfront,1955.0,12,8
Becket,1965.0,12,1
The Song of Bernadette,1944.0,12,4
Reds,1982.0,12,3
Mrs. Miniver,1943.0,12,6
A Streetcar Named Desire,1952.0,12,4
Johnny Belinda,1949.0,12,1
Chinatown,1975.0,11,1
Out of Africa,1986.0,11,7
The Aviator,2005.0,11,5
Rebecca,1941.0,11,2
Saving Private Ryan,1999.0,11,5
Life of Pi,2013.0,11,4
Mr. Smith Goes to Washington,1940.0,11,1
Julia,1978.0,11,3
Amadeus,1985.0,11,8
A Passage to India,1985.0,11,2
The Turning Point,1978.0,11,0
The Pride of the Yankees,1943.0,11,1
Judgment at Nuremberg,1962.0,11,2
The Godfather,1973.0,11,3
The Color Purple,1986.0,11,0
Sergeant York,1942.0,11,2
West Side Story,1962.0,11,10
Oliver!,1969.0,11,5
Terms of Endearment,1984.0,11,5
Sunset Blvd.,1951.0,11,3
The Lord of the Rings: The Return of the King,2004.0,11,11
The Godfather Part II,1975.0,11,6
Hugo,2012.0,11,5
Gandhi,1983.0,11,8
The Sound of Music,1966.0,10,5
True Grit,2011.0,10,0
On Golden Pond,1982.0,10,3
Gravity,2014.0,10,7
Tom Jones,1964.0,10,4
Doctor Zhivago,1966.0,10,5
Gangs of New York,2003.0,10,0
Airport,1971.0,10,1
Bugsy,1992.0,10,2
Star Wars,1978.0,10,6
The Sting,1974.0,10,7
Rocky,1977.0,10,3
Roman Holiday,1954.0,10,3
How Green Was My Valley,1942.0,10,5
Cabaret,1973.0,10,8
Patton,1971.0,10,7
Anne of the Thousand Days,1970.0,10,1
"Crouching Tiger, Hidden Dragon",2001.0,10,4
Going My Way,1945.0,10,7
Bonnie and Clyde,1968.0,10,2
American Hustle,2014.0,10,0
The Exorcist,1974.0,10,2
Braveheart,1996.0,10,5
The Apartment,1961.0,10,5
The Artist,2012.0,10,5
Wilson,1945.0,10,5
Guess Who's Coming to Dinner,1968.0,10,2
Giant,1957.0,10,1
Lawrence of Arabia,1963.0,10,7
Slumdog Millionaire,2009.0,10,8
Network,1977.0,10,4
Mad Max: Fury Road,2016.0,10,6
Sayonara,1958.0,10,4
Master and Commander: The Far Side of the World,2004.0,10,2
The Life of Emile Zola,1938.0,10,3
Tootsie,1983.0,10,1
Kramer vs. Kramer,1980.0,9,5
The Hurt Locker,2010.0,9,6
The Hours,2003.0,9,1
The Defiant Ones,1959.0,9,2
The Deer Hunter,1979.0,9,5
Raiders of the Lost Ark,1982.0,9,5
Apollo 13,1996.0,9,2
For Whom the Bell Tolls,1944.0,9,1
L.A. Confidential,1998.0,9,2
A Place in the Sun,1952.0,9,6
12 Years a Slave,2014.0,9,3
Doctor Dolittle,1968.0,9,2
Birdman or (The Unexpected Virtue of Ignorance),2015.0,9,4
Since You Went Away,1945.0,9,1
Heaven Can Wait,1979.0,9,1
The Grand Budapest Hotel,2015.0,9,4
Gigi,1959.0,9,9
"They Shoot Horses, Don't They?",1970.0,9,1
The Last Emperor,1988.0,9,9
Peyton Place,1958.0,9,0
Citizen Kane,1942.0,9,1
Unforgiven,1993.0,9,4
E.T. The Extra-Terrestrial,1983.0,9,4
Cleopatra,1964.0,9,4
Howards End,1993.0,9,3
The Poseidon Adventure,1973.0,9,2
Close Encounters of the Third Kind,1978.0,9,2
Driving Miss Daisy,1990.0,9,4
The Hustler,1962.0,9,2
All That Jazz,1980.0,9,4
The Little Foxes,1942.0,9,0
The King and I,1957.0,9,5
One Flew over the Cuckoo's Nest,1976.0,9,5
Good Will Hunting,1998.0,9,2
Avatar,2010.0,9,3
The Remains of the Day,1994.0,8,0
The Imitation Game,2015.0,8,1
Apocalypse Now,1980.0,8,2
Milk,2009.0,8,2
Born on the Fourth of July,1990.0,8,2
American Beauty,2000.0,8,5
Mutiny on the Bounty,1936.0,8,1
The Sand Pebbles,1967.0,8,0
Inception,2011.0,8,4
No Country for Old Men,2008.0,8,4
An American in Paris,1952.0,8,6
Arrival,2017.0,8,1
The Last Picture Show,1972.0,8,2
Rain Man,1989.0,8,4
How the West Was Won,1964.0,8,3
The Rose Tattoo,1956.0,8,3
Dreamgirls,2007.0,8,2
Inglourious Basterds,2010.0,8,1
The Bridge on the River Kwai,1958.0,8,7
Moonlight,2017.0,8,3
All the President's Men,1977.0,8,4
Fiddler on the Roof,1972.0,8,3
The Social Network,2011.0,8,3
Prizzi's Honor,1986.0,8,1
Moulin Rouge,2002.0,8,2
Quo Vadis,1952.0,8,0
The Bells of St. Mary's,1946.0,8,1
Platoon,1987.0,8,4
Raging Bull,1981.0,8,2
The Right Stuff,1984.0,8,4
Ragtime,1982.0,8,0
The Best Years of Our Lives,1947.0,8,7
Around the World in 80 Days,1957.0,8,5
Silver Linings Playbook,2013.0,8,1
There Will Be Blood,2008.0,8,2
Les Misérables,2013.0,8,3
Funny Girl,1969.0,8,1
The French Connection,1972.0,8,5
The Piano,1994.0,8,3
A Room with a View,1987.0,8,3
Gentleman's Agreement,1948.0,8,3
The Dark Knight,2009.0,8,2
Witness,1986.0,8,2
To Kill a Mockingbird,1963.0,8,3
Yankee Doodle Dandy,1943.0,8,3
Coming Home,1979.0,8,3
The Elephant Man,1981.0,8,0
Wuthering Heights,1940.0,8,1
The Heiress,1950.0,8,4
A Man for All Seasons,1967.0,8,6
The Diary of Anne Frank,1960.0,8,3
Casablanca,1944.0,8,3
The Nun's Story,1960.0,8,0
The Towering Inferno,1975.0,8,3
Marty,1956.0,8,4
Love Is a Many-Splendored Thing,1956.0,8,3
Ship of Fools,1966.0,8,2
JFK,1992.0,8,2
A Beautiful Mind,2002.0,8,4
Brokeback Mountain,2006.0,8,3
Seabiscuit,2004.0,7,0
All the King's Men,1950.0,7,3
Here Comes Mr. Jordan,1942.0,7,2
Cold Mountain,2004.0,7,1
Cimarron,1932.0,7,3
Elizabeth,1999.0,7,1
The Yearling,1947.0,7,2
In the Heat of the Night,1968.0,7,5
Dangerous Liaisons,1989.0,7,3
"Hush...Hush, Sweet Charlotte",1965.0,7,0
Zorba the Greek,1965.0,7,3
The Shawshank Redemption,1995.0,7,0
In the Name of the Father,1994.0,7,0
The Letter,1941.0,7,0
High Noon,1953.0,7,4
The Lost Weekend,1946.0,7,4
Come to the Stable,1950.0,7,0
"Hello, Dolly!",1970.0,7,3
Lost Horizon,1938.0,7,2
Anatomy of a Murder,1960.0,7,0
Victor/Victoria,1983.0,7,1
Coal Miner's Daughter,1981.0,7,1
Barry Lyndon,1976.0,7,4
Life Is Beautiful,1999.0,7,3
Babe,1996.0,7,1
The Grapes of Wrath,1941.0,7,2
Hud,1964.0,7,3
The Fighter,2011.0,7,2
The Silence of the Lambs,1992.0,7,5
You Can't Take It with You,1939.0,7,2
Babel,2007.0,7,1
The Lion in Winter,1969.0,7,3
Pepe,1961.0,7,0
Separate Tables,1959.0,7,2
Chariots of Fire,1982.0,7,4
Places in the Heart,1985.0,7,2
The Alamo,1961.0,7,1
Thoroughly Modern Millie,1968.0,7,1
The Graduate,1968.0,7,1
Gaslight,1945.0,7,2
The Fugitive,1994.0,7,1
Fargo,1997.0,7,2
The Great Ziegfeld,1937.0,7,3
The Killing Fields,1985.0,7,3
Mutiny on the Bounty,1963.0,7,0
Joan of Arc,1949.0,7,2
"The Godfather, Part III",1991.0,7,0
Sons and Lovers,1961.0,7,1
The Talk of the Town,1943.0,7,0
Michael Clayton,2008.0,7,1
Bullets over Broadway,1995.0,7,1
The Lives of a Bengal Lancer,1936.0,7,1
