,year,category,movie,nominee,is_winner
0,1929,ACTOR,The Noose| (1929),Richard Barthelmess,False
1,1929,ACTOR,The Last Command| (1929),Emil Jannings,True
2,1929,ACTRESS,A Ship Comes In| (1929),Louise Dresser,False
3,1929,ACTRESS,7th Heaven| (1929),Janet Gaynor,True
4,1929,ACTRESS,Sadie Thompson| (1929),Gloria Swanson,False
5,1929,ART DIRECTION,Sunrise| (1929),Rochus Gliese,False
6,1929,ART DIRECTION,The Dove;| (1929),William Cameron Menzies,True
7,1929,ART DIRECTION,7th Heaven| (1929),Harry Oliver,False
8,1929,CINEMATOGRAPHY,The Devil Dancer;| (1929),George Barnes,False
9,1929,CINEMATOGRAPHY,Sunrise| (1929),Charles Rosher,True
10,1929,CINEMATOGRAPHY,Sunrise| (1929),Karl Struss,True
11,1929,DIRECTING (Comedy Picture),Two Arabian Knights| (1929),Lewis Milestone,True
12,1929,DIRECTING (Comedy Picture),Speedy| (1929),Ted Wilde,False
13,1929,DIRECTING (Dramatic Picture),7th Heaven| (1929),Frank Borzage,True
14,1929,DIRECTING (Dramatic Picture),Sorrell and Son| (1929),Herbert Brenon,False
15,1929,DIRECTING (Dramatic Picture),The Crowd| (1929),King Vidor,False
16,1929,ENGINEERING EFFECTS,False,Ralph Hammeras,False
17,1929,ENGINEERING EFFECTS,Wings| (1929),Roy Pomeroy,True
18,1929,ENGINEERING EFFECTS,False,Nugent Slaughter,False
19,1929,OUTSTANDING PICTURE,The Racket| (1929),The Caddo Company,False
20,1929,OUTSTANDING PICTURE,7th Heaven| (1929),Fox,False
21,1929,OUTSTANDING PICTURE,Wings| (1929),Paramount Famous Lasky,True
22,1929,UNIQUE AND ARTISTIC PICTURE,Sunrise| (1929),Fox,True
23,1929,UNIQUE AND ARTISTIC PICTURE,The Crowd| (1929),Metro-Goldwyn-Mayer,False
24,1929,UNIQUE AND ARTISTIC PICTURE,Chang| (1929),Paramount Famous Lasky,False
25,1929,WRITING (Adaptation),The Jazz Singer| (1929),Alfred Cohn,False
26,1929,WRITING (Adaptation),Glorious Betsy| (1929),Anthony Coldeway,False
27,1929,WRITING (Adaptation),7th Heaven| (1929),Benjamin Glazer,True
28,1929,WRITING (Original Story),The Last Command| (1929),Lajos Biro,False
29,1929,WRITING (Original Story),Underworld| (1929),Ben Hecht,True
30,1929,WRITING (Title Writing),The Private Life of Helen of Troy| (1929),Gerald Duffy,False
31,1929,WRITING (Title Writing),False,Joseph Farnham,True
32,1929,WRITING (Title Writing),False,"George Marion, Jr.",False
33,1930,ACTOR,Thunderbolt| (1930),George Bancroft,False
34,1930,ACTOR,In Old Arizona| (1930),Warner Baxter,True
35,1930,ACTOR,Alibi| (1930),Chester Morris,False
36,1930,ACTOR,The Valiant| (1930),Paul Muni,False
37,1930,ACTOR,The Patriot| (1930),Lewis Stone,False
38,1930,ACTRESS,Madame X| (1930),Ruth Chatterton,False
39,1930,ACTRESS,The Barker| (1930),Betty Compson,False
40,1930,ACTRESS,The Letter| (1930),Jeanne Eagels,False
41,1930,ACTRESS,The Divine Lady| (1930),Corinne Griffith,False
42,1930,ACTRESS,The Broadway Melody| (1930),Bessie Love,False
43,1930,ACTRESS,Coquette| (1930),Mary Pickford,True
44,1930,ART DIRECTION,The Patriot| (1930),Hans Dreier,False
45,1930,ART DIRECTION,The Bridge of San Luis Rey| (1930),Cedric Gibbons,True
46,1930,ART DIRECTION,Dynamite| (1930),Mitchell Leisen,False
47,1930,ART DIRECTION,Alibi;| (1930),William Cameron Menzies,False
48,1930,ART DIRECTION,Street Angel| (1930),Harry Oliver,False
49,1930,CINEMATOGRAPHY,Our Dancing Daughters| (1930),George Barnes,False
50,1930,CINEMATOGRAPHY,White Shadows in the South Seas| (1930),Clyde De Vinna,True
51,1930,CINEMATOGRAPHY,In Old Arizona| (1930),Arthur Edeson,False
52,1930,CINEMATOGRAPHY,Four Devils;| (1930),Ernest Palmer,False
53,1930,CINEMATOGRAPHY,The Divine Lady| (1930),John Seitz,False
54,1930,DIRECTING,Madame X| (1930),Lionel Barrymore,False
55,1930,DIRECTING,The Broadway Melody| (1930),Harry Beaumont,False
56,1930,DIRECTING,In Old Arizona| (1930),Irving Cummings,False
57,1930,DIRECTING,The Divine Lady| (1930),Frank Lloyd,True
58,1930,DIRECTING,Drag;| (1930),Frank Lloyd,False
59,1930,DIRECTING,The Patriot| (1930),Ernst Lubitsch,False
60,1930,OUTSTANDING PICTURE,Alibi| (1930),Feature Productions,False
61,1930,OUTSTANDING PICTURE,In Old Arizona| (1930),Fox,False
62,1930,OUTSTANDING PICTURE,The Broadway Melody| (1930),Metro-Goldwyn-Mayer,True
63,1930,OUTSTANDING PICTURE,Hollywood Revue| (1930),Metro-Goldwyn-Mayer,False
64,1930,OUTSTANDING PICTURE,The Patriot| (1930),Paramount Famous Lasky,False
65,1930,WRITING,In Old Arizona;| (1930),Tom Barry,False
66,1930,WRITING,The Cop;| (1930),Elliott Clawson,False
67,1930,WRITING,The Last of Mrs. Cheyney| (1930),Hans Kraly,False
68,1930,WRITING,The Patriot| (1930),Hans Kraly,True
69,1930,WRITING,Our Dancing Daughters| (1930),Josephine Lovett,False
70,1930,WRITING,A Woman of Affairs;| (1930),Bess Meredyth,False
71,1931,ACTOR,Disraeli| (1931),George Arliss,True
72,1931,ACTOR,The Green Goddess| (1931),George Arliss,False
73,1931,ACTOR,The Big House| (1931),Wallace Beery,False
74,1931,ACTOR,The Big Pond| (1931),Maurice Chevalier,False
75,1931,ACTOR,Bulldog Drummond| (1931),Ronald Colman,False
76,1931,ACTOR,The Rogue Song| (1931),Lawrence Tibbett,False
77,1931,ACTRESS,The Devil's Holiday| (1931),Nancy Carroll,False
78,1931,ACTRESS,Sarah and Son| (1931),Ruth Chatterton,False
79,1931,ACTRESS,Anna Christie| (1931),Greta Garbo,False
80,1931,ACTRESS,The Divorcee| (1931),Norma Shearer,True
81,1931,ACTRESS,Their Own Desire| (1931),Norma Shearer,False
82,1931,ACTRESS,The Trespasser| (1931),Gloria Swanson,False
83,1931,ART DIRECTION,Bulldog Drummond| (1931),(William Cameron Menzies),False
84,1931,ART DIRECTION,King of Jazz| (1931),Herman Rosse,True
85,1931,ART DIRECTION,The Love Parade| (1931),(Hans Dreier),False
86,1931,ART DIRECTION,Sally| (1931),(Jack Okey),False
87,1931,ART DIRECTION,The Vagabond King| (1931),(Hans Dreier),False
88,1931,CINEMATOGRAPHY,All Quiet on the Western Front| (1931),(Arthur Edeson),False
89,1931,CINEMATOGRAPHY,Anna Christie| (1931),(William Daniels),False
90,1931,CINEMATOGRAPHY,Hell's Angels| (1931),"(Gaetano Gaudio), (Harry Perry)",False
91,1931,CINEMATOGRAPHY,The Love Parade| (1931),(Victor Milner),False
92,1931,CINEMATOGRAPHY,With Byrd at the South Pole| (1931),"Joseph T. Rucker, Willard Van Der Veer",True
93,1931,DIRECTING,Anna Christie;| (1931),Clarence Brown,False
94,1931,DIRECTING,The Divorcee| (1931),Robert Leonard,False
95,1931,DIRECTING,The Love Parade| (1931),Ernst Lubitsch,False
96,1931,DIRECTING,All Quiet on the Western Front| (1931),Lewis Milestone,True
97,1931,DIRECTING,Hallelujah| (1931),King Vidor,False
98,1931,OUTSTANDING PRODUCTION,All Quiet on the Western Front| (1931),Universal,True
99,1931,OUTSTANDING PRODUCTION,The Big House| (1931),Cosmopolitan,False
100,1931,OUTSTANDING PRODUCTION,Disraeli| (1931),Warner Bros.,False
101,1931,OUTSTANDING PRODUCTION,The Divorcee| (1931),Metro-Goldwyn-Mayer,False
102,1931,OUTSTANDING PRODUCTION,The Love Parade| (1931),Paramount Famous Lasky,False
103,1931,SOUND RECORDING,The Big House| (1931),"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",True
104,1931,SOUND RECORDING,The Case of Sergeant Grischa| (1931),"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",False
105,1931,SOUND RECORDING,The Love Parade| (1931),"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",False
106,1931,SOUND RECORDING,Raffles| (1931),"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",False
107,1931,SOUND RECORDING,Song of the Flame| (1931),"(First National Studio Sound Department, George Groves, Sound Director)",False
108,1931,WRITING,All Quiet on the Western Front| (1931),"(George Abbott), (Maxwell Anderson), (Del Andrews)",False
109,1931,WRITING,The Big House| (1931),Frances Marion,True
110,1931,WRITING,Disraeli| (1931),(Julian Josephson),False
111,1931,WRITING,The Divorcee| (1931),(John Meehan),False
112,1931,WRITING,Street of Chance| (1931),(Howard Estabrook),False
113,1932,ACTOR,A Free Soul| (1932),Lionel Barrymore,True
114,1932,ACTOR,Skippy| (1932),Jackie Cooper,False
115,1932,ACTOR,Cimarron| (1932),Richard Dix,False
116,1932,ACTOR,The Royal Family of Broadway| (1932),Fredric March,False
117,1932,ACTOR,The Front Page| (1932),Adolphe Menjou,False
118,1932,ACTRESS,Morocco| (1932),Marlene Dietrich,False
119,1932,ACTRESS,Min and Bill| (1932),Marie Dressler,True
120,1932,ACTRESS,Cimarron| (1932),Irene Dunne,False
121,1932,ACTRESS,Holiday| (1932),Ann Harding,False
122,1932,ACTRESS,A Free Soul| (1932),Norma Shearer,False
123,1932,ART DIRECTION,Cimarron| (1932),Max Rée,True
124,1932,ART DIRECTION,Just Imagine| (1932),"Stephen Goosson, Ralph Hammeras",False
125,1932,ART DIRECTION,Morocco| (1932),Hans Dreier,False
126,1932,ART DIRECTION,Svengali| (1932),Anton Grot,False
127,1932,ART DIRECTION,Whoopee!| (1932),Richard Day,False
128,1932,CINEMATOGRAPHY,Cimarron| (1932),Edward Cronjager,False
129,1932,CINEMATOGRAPHY,Morocco| (1932),Lee Garmes,False
130,1932,CINEMATOGRAPHY,The Right to Love| (1932),Charles Lang,False
131,1932,CINEMATOGRAPHY,Svengali| (1932),"Barney ""Chick"" McGill",False
132,1932,CINEMATOGRAPHY,Tabu| (1932),Floyd Crosby,True
133,1932,DIRECTING,Cimarron| (1932),Wesley Ruggles,False
134,1932,DIRECTING,A Free Soul| (1932),Clarence Brown,False
135,1932,DIRECTING,The Front Page| (1932),Lewis Milestone,False
136,1932,DIRECTING,Morocco| (1932),Josef Von Sternberg,False
137,1932,DIRECTING,Skippy| (1932),Norman Taurog,True
138,1932,OUTSTANDING PRODUCTION,Cimarron| (1932),RKO Radio,True
139,1932,OUTSTANDING PRODUCTION,East Lynne| (1932),Fox,False
140,1932,OUTSTANDING PRODUCTION,The Front Page| (1932),The Caddo Company,False
141,1932,OUTSTANDING PRODUCTION,Skippy| (1932),Paramount Publix,False
142,1932,OUTSTANDING PRODUCTION,Trader Horn| (1932),Metro-Goldwyn-Mayer,False
143,1932,SOUND RECORDING,False,Samuel Goldwyn - United Artists Studio Sound Department,False
144,1932,SOUND RECORDING,False,Metro-Goldwyn-Mayer Studio Sound Department,False
145,1932,SOUND RECORDING,False,Paramount Publix Studio Sound Department,True
146,1932,SOUND RECORDING,False,RKO Radio Studio Sound Department,False
147,1932,WRITING (Adaptation),Cimarron| (1932),Howard Estabrook,True
148,1932,WRITING (Adaptation),The Criminal Code| (1932),"Seton I. Miller, Fred Niblo, Jr.",False
149,1932,WRITING (Adaptation),Holiday| (1932),Horace Jackson,False
150,1932,WRITING (Adaptation),Little Caesar| (1932),"Francis Faragoh, Robert N. Lee",False
151,1932,WRITING (Adaptation),Skippy| (1932),"Joseph L. Mankiewicz, Sam Mintz",False
152,1932,WRITING (Original Story),The Dawn Patrol| (1932),John Monk Saunders,True
153,1932,WRITING (Original Story),The Doorway to Hell| (1932),Rowland Brown,False
154,1932,WRITING (Original Story),Laughter| (1932),"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",False
155,1932,WRITING (Original Story),The Public Enemy| (1932),"John Bright, Kubec Glasmon",False
156,1932,WRITING (Original Story),Smart Money| (1932),"Lucien Hubbard, Joseph Jackson",False
157,1933,ACTOR,The Champ| (1933),Wallace Beery,True
158,1933,ACTOR,The Guardsman| (1933),Alfred Lunt,False
159,1933,ACTOR,Dr. Jekyll and Mr. Hyde| (1933),Fredric March,True
160,1933,ACTRESS,Emma| (1933),Marie Dressler,False
161,1933,ACTRESS,The Guardsman| (1933),Lynn Fontanne,False
162,1933,ACTRESS,The Sin of Madelon Claudet| (1933),Helen Hayes,True
163,1933,ART DIRECTION,À Nous la Liberté| (1933),Lazare Meerson,False
164,1933,ART DIRECTION,Arrowsmith| (1933),Richard Day,False
165,1933,ART DIRECTION,Transatlantic| (1933),Gordon Wiles,True
166,1933,CINEMATOGRAPHY,Arrowsmith| (1933),Ray June,False
167,1933,CINEMATOGRAPHY,Dr. Jekyll and Mr. Hyde| (1933),Karl Struss,False
168,1933,CINEMATOGRAPHY,Shanghai Express| (1933),Lee Garmes,True
169,1933,DIRECTING,Bad Girl| (1933),Frank Borzage,True
170,1933,DIRECTING,The Champ| (1933),King Vidor,False
171,1933,DIRECTING,Shanghai Express| (1933),Josef Von Sternberg,False
172,1933,OUTSTANDING PRODUCTION,Arrowsmith| (1933),Samuel Goldwyn Productions,False
173,1933,OUTSTANDING PRODUCTION,Bad Girl| (1933),Fox,False
174,1933,OUTSTANDING PRODUCTION,The Champ| (1933),Metro-Goldwyn-Mayer,False
175,1933,OUTSTANDING PRODUCTION,Five Star Final| (1933),First National,False
176,1933,OUTSTANDING PRODUCTION,Grand Hotel| (1933),Metro-Goldwyn-Mayer,True
177,1933,OUTSTANDING PRODUCTION,One Hour with You| (1933),Paramount Publix,False
178,1933,OUTSTANDING PRODUCTION,Shanghai Express| (1933),Paramount Publix,False
179,1933,OUTSTANDING PRODUCTION,The Smiling Lieutenant| (1933),Paramount Publix,False
180,1933,SHORT SUBJECT (Cartoon),Flowers and Trees| (1933),"Walt Disney, Producer",True
181,1933,SHORT SUBJECT (Cartoon),It's Got Me Again| (1933),"Leon Schlesinger, Producer",False
182,1933,SHORT SUBJECT (Cartoon),Mickey's Orphans| (1933),"Walt Disney, Producer",False
183,1933,SHORT SUBJECT (Comedy),The Loud Mouth| (1933),"Mack Sennett, Producer",False
184,1933,SHORT SUBJECT (Comedy),The Music Box| (1933),"Hal Roach, Producer",True
185,1933,SHORT SUBJECT (Comedy),Scratch-As-Catch-Can| (1933),RKO Radio,False
186,1933,SHORT SUBJECT (Comedy),Stout Hearts and Willing Hands| (1933),RKO Radio,False
187,1933,SHORT SUBJECT (Novelty),Screen Souvenirs| (1933),Paramount Publix,False
188,1933,SHORT SUBJECT (Novelty),Swing High| (1933),Metro-Goldwyn-Mayer,False
189,1933,SHORT SUBJECT (Novelty),Wrestling Swordfish| (1933),"Mack Sennett, Producer",True
190,1933,SOUND RECORDING,False,Metro-Goldwyn-Mayer Studio Sound Department,False
