category,year,first_year,type
DIRECTING,88,1930,DIRECTION
FILM EDITING,83,1935,MOVIE
ACTOR IN A SUPPORTING ROLE,81,1937,ACTORS
ACTRESS IN A SUPPORTING ROLE,81,1937,ACTORS
DOCUMENTARY (Short Subject),74,1942,MOVIE
DOCUMENTARY (Feature),73,1944,MOVIE
CINEMATOGRAPHY,62,1929,CINEMATOGRAPHY
FOREIGN LANGUAGE FILM,61,1957,MOVIE
HONORARY AWARD,61,1951,OTHER
ART DIRECTION,59,1929,DIRECTION
BEST PICTURE,55,1963,OTHER
COSTUME DESIGN,52,1958,OTHER
ACTRESS,48,1929,ACTORS
ACTOR,48,1929,ACTORS
SOUND,45,1959,MUSIC
SHORT FILM (Animated),43,1975,MOVIE
SHORT FILM (Live Action),42,1975,MOVIE
MUSIC (Original Song),42,1976,MUSIC
MUSIC (Original Score),42,1939,MUSIC
ACTOR IN A LEADING ROLE,41,1977,ACTORS
ACTRESS IN A LEADING ROLE,41,1977,ACTORS
SHORT SUBJECT (Cartoon),39,1933,MOVIE
IRVING G. THALBERG MEMORIAL AWARD,38,1938,OTHER
JEAN HERSHOLT HUMANITARIAN AWARD,37,1957,OTHER
VISUAL EFFECTS,36,1978,OTHER
MUSIC (Song),36,1935,MUSIC
MAKEUP,30,1982,OTHER
SOUND RECORDING,28,1931,MUSIC
CINEMATOGRAPHY (Black-and-White),27,1940,CINEMATOGRAPHY
CINEMATOGRAPHY (Color),27,1940,CINEMATOGRAPHY
SPECIAL EFFECTS,25,1940,OTHER
ART DIRECTION (Black-and-White),25,1941,DIRECTION
ART DIRECTION (Color),25,1941,DIRECTION
WRITING (Original Screenplay),25,1941,WRITING
WRITING (Screenplay Written Directly for the Screen),24,1979,WRITING
SHORT SUBJECT (One-reel),21,1937,MOVIE
WRITING (Screenplay),21,1936,WRITING
SHORT SUBJECT (Two-reel),21,1937,MOVIE
MUSIC (Scoring of a Musical Picture),20,1942,MUSIC
MUSIC (Music Score of a Dramatic or Comedy Picture),19,1943,MUSIC
WRITING (Screenplay--based on material from another medium),19,1958,WRITING
SPECIAL AWARD,18,1929,OTHER
BEST MOTION PICTURE,18,1945,OTHER
SOUND EDITING,17,2001,MUSIC
SHORT SUBJECT (Live Action),17,1958,MOVIE
COSTUME DESIGN (Black-and-White),17,1949,OTHER
COSTUME DESIGN (Color),17,1949,OTHER
SOUND EFFECTS EDITING,16,1983,MUSIC
ANIMATED FEATURE FILM,16,2002,MOVIE
WRITING (Adapted Screenplay),15,2003,WRITING
SOUND MIXING,14,2004,MUSIC
WRITING (Screenplay Based on Material from Another Medium),13,1979,WRITING
WRITING (Original Story),12,1929,WRITING
WRITING (Story and Screenplay--written directly for the screen),12,1958,WRITING
OUTSTANDING PRODUCTION,11,1931,PRODUCTION
WRITING (Screenplay Based on Material Previously Produced or Published),11,1992,WRITING
WRITING (Motion Picture Story),10,1948,WRITING
SPECIAL ACHIEVEMENT AWARD (Visual Effects),8,1973,OTHER
SPECIAL VISUAL EFFECTS,8,1965,OTHER
MUSIC (Original Dramatic Score),8,1972,MUSIC
MUSIC (Scoring),8,1935,MUSIC
WRITING (Story and Screenplay),7,1950,WRITING
MUSIC (Scoring of Music--adaptation or treatment),6,1963,MUSIC
SOUND EFFECTS,5,1964,MUSIC
MAKEUP AND HAIRSTYLING,5,2013,OTHER
WRITING (Adaptation),5,1929,WRITING
MUSIC (Song--Original for the Picture),5,1969,MUSIC
PRODUCTION DESIGN,5,2013,PRODUCTION
WRITING (Original Motion Picture Story),5,1943,WRITING
ASSISTANT DIRECTOR,5,1934,DIRECTION
HONORARY FOREIGN LANGUAGE FILM AWARD,5,1951,MOVIE
SHORT SUBJECT (Comedy),4,1933,MOVIE
WRITING (Story and Screenplay--based on factual material or material not previously published or produced),4,1971,WRITING
MUSIC (Music Score--substantially original),4,1963,MUSIC
SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),4,1978,OTHER
MUSIC (Original Musical or Comedy Score),4,1996,MUSIC
SHORT SUBJECT (Novelty),4,1933,MOVIE
OUTSTANDING MOTION PICTURE,3,1942,OTHER
SPECIAL ACHIEVEMENT AWARD,3,1978,OTHER
SHORT SUBJECT (Animated),3,1972,MOVIE
MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),3,1974,MUSIC
DANCE DIRECTION,3,1936,DIRECTION
WRITING,2,1930,WRITING
SPECIAL FOREIGN LANGUAGE FILM AWARD,2,1949,MOVIE
WRITING (Screenplay Adapted from Other Material),2,1975,WRITING
MUSIC (Original Music Score),2,1967,MUSIC
WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),2,1977,WRITING
MUSIC (Original Score--for a motion picture [not a musical]),2,1969,MUSIC
MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),2,1980,MUSIC
MUSIC (Original Song Score and Its Adaptation or Adaptation Score),2,1977,MUSIC
MUSIC (Original Song Score),2,1971,MUSIC
MUSIC (Score of a Musical Picture--original or adaptation),2,1969,MUSIC
SHORT SUBJECT (Color),2,1937,MOVIE
MUSIC (Scoring: Adaptation and Original Song Score),2,1972,MUSIC
OUTSTANDING PICTURE,2,1929,OTHER
WRITING (Screenplay--Adapted),1,1957,WRITING
WRITING (Story and Screenplay--based on material not previously published or produced),1,1970,WRITING
WRITING (Screenplay--Original),1,1957,WRITING
ENGINEERING EFFECTS,1,1929,OTHER
UNIQUE AND ARTISTIC PICTURE,1,1929,OTHER
SPECIAL ACHIEVEMENT AWARD (Sound Effects),1,1976,OTHER
SPECIAL ACHIEVEMENT AWARD (Sound Editing),1,1980,OTHER
DOCUMENTARY,1,1943,MOVIE
SHORT FILM (Dramatic Live Action),1,1981,MOVIE
MUSIC (Original Song Score or Adaptation Score),1,1984,MUSIC
MUSIC (Music Score of a Dramatic Picture),1,1942,MUSIC
MUSIC (Adaptation Score),1,1979,MUSIC
DIRECTING (Comedy Picture),1,1929,DIRECTION
DIRECTING (Dramatic Picture),1,1929,DIRECTION
WRITING (Title Writing),1,1929,WRITING
